,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
97,2017-08-28,395.27,395.27,385.04,385.97,2066,389.21454042334483,391.3691380279714,391.2730835785021,,,,
98,2017-08-30,385.97,393.72,385.97,387.52,1752,388.64969361556325,390.6692947501584,390.8039481311893,,,,
99,2017-09-04,383.49,383.49,373.72,379.77,1490,385.6897957437088,388.6876047955841,389.42470461479064,,,,
100,2017-09-06,382.87,395.12,382.87,385.5,1177,385.6265304958059,388.10804028729603,388.9341165379418,,,,
101,2017-09-07,387.52,393.26,384.42,393.26,1125,388.1710203305373,389.0447602350604,389.4748519706991,386.1766666666667,388.35752982081374,381.88197318458697,366.1902697766256
102,2017-09-10,395.43,401.47,379.77,391.24,6000,389.19401355369155,389.44389473777665,389.6954954743617,,,,
103,2017-09-11,391.24,393.41,385.35,388.29,1762,388.8926757024611,389.2340956945445,389.5198085400665,,,,
104,2017-09-12,388.29,388.29,380.54,380.54,1802,386.1084504683074,387.65335102280915,388.39733247255816,,,,
105,2017-09-13,373.57,385.97,373.57,382.09,1137,384.7689669788716,386.6418326550256,387.60891591348843,,,,
106,2017-09-14,387.36,387.36,376.67,379.46,1267,382.9993113192478,385.3360448995664,386.59030142430237,384.32399999999996,387.0130198805425,382.3259780601166,368.45698605454743
107,2017-09-17,379.77,387.52,379.77,383.64,3844,383.2128742128319,385.0276730996452,386.2215137462646,,,,
108,2017-09-18,383.55,397.05,383.55,383.55,1683,383.3252494752213,384.75900526334607,385.88757452798154,,,,
109,2017-09-20,380.93,380.93,375.89,377.1,404,381.2501663168142,383.36645885182855,384.78912771198384,,,,
110,2017-09-24,380.73,380.93,369.84,369.84,291,377.44677754454284,380.90710269695063,382.9204867479859,,,,
111,2017-09-25,369.64,369.64,364.81,365.81,288,373.5678516963619,378.16217493386864,380.78167590448766,,,,
112,2017-09-26,367.83,369.64,360.98,369.64,4029,372.25856779757464,376.6126885822561,379.3889664164267,,,,
113,2017-10-03,369.64,369.64,369.64,369.64,44,371.38571186504976,375.3449270218459,378.17034561437333,,,,
114,2017-10-04,365.81,365.81,363.8,363.8,79,368.8571412433665,373.2458493815102,376.3740524125767,,,,
115,2017-10-08,357.35,357.35,350.7,352.51,191,363.40809416224437,369.47569494850836,373.3910458610046,,,,
116,2017-10-09,346.46,347.67,342.03,342.64,385,356.48539610816294,364.5964776851432,369.54716512837905,,,,
117,2017-10-10,338.81,341.83,338.81,339.81,348,350.9269307387753,360.0898453787535,365.83001948733164,,,,
118,2017-10-11,335.58,339.81,335.58,339.81,287,347.22128715918353,356.4026007644347,362.57751705141516,,,,
119,2017-10-12,337.8,339.61,337.6,337.6,188,344.0141914394557,352.983946079992,359.45532741998824,342.474,364.35267059368744,370.9780677585154,366.10291052660364
120,2017-10-15,337.6,337.6,333.57,336.59,219,341.53946095963715,350.0032286109025,356.5971614924897,,,,
121,2017-10-16,337.6,350.09,337.6,347.67,198,343.58297397309144,349.579005227102,355.4812663059285,,,,
122,2017-10-17,348.68,361.78,348.68,353.72,820,346.96198264872766,350.3319133676289,355.26110801768743,,,,
123,2017-10-18,351.71,359.16,349.69,358.76,706,350.8946550991518,351.8642927553327,355.6984695154765,,,,
124,2017-10-22,359.77,364.81,358.76,352.11,152,351.29977006610125,351.9089667998177,355.24991082604197,,,,
125,2017-10-24,359.77,359.77,355.94,355.94,145,352.84651337740087,352.64188192712356,355.33617197278676,,,,
126,2017-10-25,351.71,362.39,351.71,362.39,121,356.02767558493395,354.41426703128286,356.2179004761884,,,,
127,2017-10-29,362.39,362.39,344.65,350.9,567,354.31845038995596,353.77530938923144,355.55316291666486,,,,
128,2017-10-30,345.66,345.66,344.25,344.25,251,350.9623002599707,352.04343495482567,354.14026755208175,,,,
129,2017-10-31,341.63,345.66,341.63,341.83,55,347.91820017331383,350.186446781221,352.60148410807153,,,,
130,2017-11-01,335.58,340.62,335.58,337.6,209,344.4788001155426,347.89800191190807,350.7262985945626,,,,
131,2017-11-02,337.6,338.6,331.55,334.57,574,341.17586674369505,345.4747288370157,348.7067612702423,341.83000000000004,352.9226431388704,360.91876889253024,360.4336522993979
132,2017-11-05,325.5,325.5,319.46,323.49,477,335.28057782913004,341.4775054121037,345.554666111462,,,,
133,2017-11-07,320.46,320.46,319.66,320.06,243,330.20705188608673,337.5834135189939,342.3678328475292,,,,
134,2017-11-08,314.22,314.22,308.37,308.37,682,322.9280345907245,332.2718837882677,338.118103741588,,,,
135,2017-11-09,308.37,315.43,308.37,311.19,827,319.0153563938163,328.43881400858265,334.7520907738895,315.77750000000003,340.540928759247,352.71126545752475,354.8516332619732
136,2017-11-13,309.38,315.43,309.38,314.62,931,317.55023759587755,325.9263023706585,332.2355794271533,,,,
137,2017-11-14,318.45,323.49,316.64,321.47,1083,318.8568250639184,325.1160655759933,330.88988199875917,,,,
138,2017-11-15,323.29,328.53,322.48,322.48,648,320.06455004261227,324.6367809258127,329.8386467489143,,,,
139,2017-11-16,321.47,321.47,318.45,318.65,131,319.5930333617415,323.5482753029376,328.4400659053,319.305,333.462285839498,346.63739901070204,350.4083041042265
140,2017-11-19,318.45,318.45,309.58,310.39,129,316.52535557449437,321.1558616114944,326.1838076671375,,,,
141,2017-11-20,311.4,311.4,307.36,308.37,211,313.8069037163296,318.83115950031356,323.9570817087453,,,,
142,2017-11-21,307.36,318.45,307.36,308.37,808,311.9946024775531,316.9291305002565,322.00869649515215,,,,
143,2017-11-22,302.73,309.38,302.73,308.37,563,310.7864016517021,315.3729249547553,320.30385943325814,,,,
144,2017-11-27,317.04,320.46,314.82,314.82,815,312.13093443446803,315.2723931447998,319.61837700410086,,,,
145,2017-11-28,309.38,313.41,309.38,312.4,111,312.220622956312,314.7501398457453,318.7160798785883,,,,
146,2017-11-29,310.39,323.89,309.38,320.26,705,314.900415304208,315.75193260106437,318.9090698937648,,,,
147,2017-11-30,319.46,320.46,313.61,319.26,670,316.3536102028054,316.3897630372345,318.9529361570442,316.685,322.40601592866585,335.57396132121374,341.6501859547984
148,2017-12-04,314.62,316.03,314.62,315.83,221,316.17907346853696,316.2879879395555,318.5625691374137,,,,
149,2017-12-05,315.63,315.63,311.4,311.4,211,314.58604897902467,315.3992628596363,317.667247995237,,,,
150,2017-12-06,311.4,322.88,311.4,322.88,607,317.3506993193498,316.75939688515695,318.3188419958324,,,,
151,2017-12-10,328.73,328.73,328.33,328.53,202,321.07713287956653,318.8995065424011,319.5952367463533,,,,
152,2017-12-12,322.48,322.48,316.43,316.84,433,319.6647552530444,318.5250508074191,319.25083215305915,,,,
153,2017-12-13,314.42,315.43,314.42,315.43,33,318.2531701686963,317.9623142969793,318.77322813392675,,,,
154,2017-12-14,310.39,316.03,310.39,315.43,66,317.31211344579754,317.5018935157103,318.3553246171859,319.0575,320.02258115348116,329.76376749601906,336.0975382049759
155,2017-12-17,316.43,316.43,312.4,312.4,80,315.67474229719835,316.5742765128539,317.61090904003765,,,,
156,2017-12-18,312.4,312.4,306.76,312.4,287,314.5831615314656,315.81531714688043,316.95954541003294,,,,
157,2017-12-19,312.4,318.05,309.38,309.38,239,312.8487743543104,314.64525948381123,316.0121022337788,,,,
158,2017-12-20,308.17,312.4,308.17,309.78,362,311.8258495695403,313.760666850391,315.2330894545564,,,,
159,2017-12-21,311.4,311.4,305.75,305.75,180,309.8005663796936,312.30418196850167,314.04770327273684,309.942,316.6623874356541,326.1598097694701,332.8280959293539
160,2017-12-24,305.35,307.36,305.35,306.36,602,308.65371091979574,311.22342161059225,313.08674036364476,,,,
161,2017-12-26,305.35,306.96,300.71,303.33,430,306.87914061319714,309.78825404503,311.86714781818915,,,,
162,2017-12-27,297.89,303.33,297.89,292.65,258,302.13609374213144,306.6722078550245,309.4650043409155,,,,
163,2017-12-28,301.32,302.33,295.88,298.29,820,300.8540624947543,305.14817006320186,308.0681287983011,300.1575,311.1607582904361,321.43211708411184,328.7442714381847
164,2017-12-31,295.27,295.27,283.18,288.22,370,296.64270832983624,302.0703209608015,305.58711269851347,,,,
165,2018-01-01,285.19,301.12,285.19,301.12,413,298.1351388865575,301.8975353315649,305.02872361119927,,,,
166,2018-01-02,296.28,301.72,296.28,301.32,201,299.196759257705,301.792528907644,304.56513315979936,,,,
167,2018-01-03,300.31,300.71,296.28,296.28,646,298.22450617180334,300.79025092443595,303.5294915148245,,,,
168,2018-01-04,294.26,301.32,291.04,299.91,310,298.7863374478689,300.63020530181126,303.07705507547143,297.37,306.56383886029073,317.0571867051824,324.8224875084116
169,2018-01-07,295.27,304.34,294.06,303.94,86,300.50422496524595,301.2319861560274,303.1849231910375,,,,
170,2018-01-08,305.35,305.35,294.46,298.29,255,299.76614997683066,300.6970795822042,302.57305779215784,,,,
171,2018-01-10,300.31,300.31,296.28,298.29,683,299.2740999845538,300.25942874907616,302.0376755681381,,,,
172,2018-01-14,295.27,296.48,293.26,293.26,951,297.26939998970255,298.98680534015324,300.9404661221208,,,,
173,2018-01-16,291.24,293.26,286.0,290.23,1009,294.9229333264684,297.3946589146708,299.60165785685575,,,,
174,2018-01-17,290.23,295.47,288.82,293.26,234,294.3686222176456,296.642902748367,298.80895062474883,,,,
175,2018-01-21,293.66,293.66,290.23,291.24,623,293.3257481450971,295.66055679411846,297.8628317966552,,,,
176,2018-01-22,291.24,291.24,287.81,289.22,175,291.9571654300648,294.4895464679151,296.78247782207336,,,,
177,2018-01-23,290.23,290.23,285.19,287.21,338,290.3747769533765,293.1659925646578,295.5859180943142,,,,
178,2018-01-24,286.2,287.21,286.2,286.2,307,288.98318463558434,291.89944846199273,294.4126783325249,,,,
179,2018-01-25,288.02,292.25,286.2,292.25,342,290.0721230903896,291.96318510526675,294.14234354095925,289.224,296.6562979339133,306.25129760186167,314.45105966546583
180,2018-01-28,292.25,295.27,288.02,290.84,1104,290.3280820602597,291.75896963158186,293.72955059833936,,,,
181,2018-01-29,286.2,289.83,286.2,289.02,918,289.8920547068398,291.26097515311244,293.14085677354694,,,,
182,2018-01-31,286.0,288.22,285.4,286.4,734,288.7280364712266,290.3771614889102,292.2982496768536,,,,
183,2018-02-01,290.43,293.26,289.43,290.23,393,289.22869098081776,290.35040485456284,292.03971846724687,289.1225,294.1450319559423,303.13697076515956,311.2849897072826
184,2018-02-04,287.81,288.42,287.61,287.81,277,288.75579398721186,289.88851306282413,291.511003658841,,,,
185,2018-02-05,285.19,285.4,283.18,283.78,518,287.09719599147456,288.7778743241288,290.54462820148586,,,,
186,2018-02-06,283.18,285.19,283.18,283.78,477,285.9914639943164,287.86916990155987,289.6990496763001,,,,
187,2018-02-07,283.78,289.22,282.17,283.58,402,285.18764266287764,287.089320828549,288.93416846676257,,,,
188,2018-02-08,281.16,288.82,279.15,284.39,772,284.92176177525175,286.5985352233582,288.36614740841725,284.668,290.98602130396154,299.7789760805851,307.9578659938723
189,2018-02-11,282.17,286.81,282.17,284.19,94,284.6778411835012,286.16061972820216,287.8441289823651,,,,
190,2018-02-12,279.15,284.19,279.15,282.37,429,283.90856078900083,285.4714161412563,287.15986285956944,,,,
191,2018-02-14,282.17,288.22,281.16,288.22,323,285.34570719266725,285.9711586610279,287.2923800021233,,,,
192,2018-02-15,293.46,310.99,289.83,310.99,1232,293.8938047951115,290.52003890447736,290.2545825018579,291.4425,291.1381808693077,298.2632531568423,305.89344524463826
193,2018-02-20,302.53,302.53,290.23,290.23,676,292.67253653007435,290.46730455820875,290.25150968912567,,,,
194,2018-02-21,290.23,291.64,290.23,291.24,292,292.1950243533829,290.6077946385344,290.37507097798493,,,,
195,2018-02-22,290.43,296.48,290.23,292.25,291,292.21334956892196,290.90637743152814,290.6094371057368,291.24,291.1721205795385,296.9862980374164,304.0617645890585
196,2018-02-25,301.92,301.92,287.21,291.24,263,291.88889971261466,290.9670360803412,290.6882574675197,,,,
197,2018-02-26,286.2,289.22,283.78,289.22,1105,290.99926647507647,290.64939315664276,290.50472528407977,,,,
198,2018-02-27,283.98,289.02,279.55,280.15,919,287.38284431671764,288.7404125827077,289.2103846235698,,,,
199,2018-02-28,279.15,284.19,275.72,279.15,566,284.63856287781175,286.99670120403357,287.95283654562354,,,,
200,2018-03-04,274.11,274.11,256.98,265.04,2391,278.1057085852078,283.0045737123911,285.0887319774206,,,,
201,2018-03-06,253.95,265.04,245.89,260.0,847,272.07047239013855,278.8219239465018,281.952640480243,,,,
202,2018-03-07,260.0,262.02,257.38,259.19,715,267.7769815934257,275.25248322895595,279.1073104202126,,,,
203,2018-03-11,259.19,260.0,254.56,254.76,818,263.4379877289505,271.5265771873276,276.06389661768605,,,,
204,2018-03-12,254.76,254.96,244.88,247.91,942,258.2619918193003,267.2326540623589,272.54465954047527,,,,
205,2018-03-13,243.67,252.14,243.67,252.14,147,256.22132787953353,264.48853514193,269.99407709791586,,,,
206,2018-03-14,252.14,256.57,250.93,256.57,237,256.337551919689,263.0488014797609,268.3160674606764,,,,
207,2018-03-15,259.19,260.0,256.57,255.36,621,256.0117012797927,261.65083757434985,266.6965590280918,253.348,271.02699869023365,282.29352912793127,291.22749463681066
208,2018-03-18,255.57,255.57,250.73,252.95,198,254.99113418652848,260.06886710628623,264.97823914958036,,,,
209,2018-03-19,250.53,250.53,247.91,249.32,281,253.10075612435233,258.114527632416,263.0209592558828,,,,
210,2018-03-20,245.09,248.91,244.88,245.49,1047,250.5638374162349,255.81915897197672,260.82958934889746,,,,
211,2018-03-21,242.87,242.87,236.82,236.82,1567,245.98255827748994,252.3647664316173,257.8283906802853,,,,
212,2018-03-22,232.59,235.81,231.78,232.79,663,241.58503885166,248.80571798950507,254.6985918452496,243.474,261.8426657934891,275.23543292285285,285.25830780720935
213,2018-03-26,228.76,228.76,211.83,213.64,2141,232.2700259011067,242.4119510823223,249.56626786459339,,,,
214,2018-03-27,210.22,225.53,208.0,225.53,819,230.02335060073779,239.34250543099097,246.56173438151922,,,,
215,2018-03-28,229.57,229.57,220.09,220.09,2168,226.7122337338252,235.84204989808353,243.2527675838293,,,,
216,2018-03-29,217.67,220.7,217.67,218.68,1090,224.03482248921682,232.72167718934105,240.18117163585063,219.485,247.7234438623261,265.0989905732432,277.0366443313082
217,2018-04-01,214.85,218.68,214.65,217.88,316,221.98321499281124,230.02319042764267,237.39352518136928,,,,
218,2018-04-02,218.68,218.68,217.67,217.67,669,220.54547666187415,227.77715580443493,234.92808453369813,,,,
219,2018-04-03,217.47,218.28,216.06,216.26,2062,219.11698444124943,225.68312747635582,232.59457396698585,,,,
220,2018-04-04,217.67,224.73,216.87,223.12,4661,220.45132296083298,225.21710429883657,231.41025222111261,,,,
221,2018-04-05,226.95,233.6,222.71,232.79,4665,224.564215307222,226.59399442632082,231.58272069347353,221.544,238.9969625748841,257.17990137810807,270.10006378989465
222,2018-04-08,236.82,246.9,229.16,246.7,4456,231.9428102048147,230.24963180335337,233.47238060678936,,,,
223,2018-04-09,244.88,260.0,244.88,245.09,3042,236.3252068032098,232.94788056638,234.92458303094068,,,,
224,2018-04-10,240.65,246.09,240.65,240.85,795,237.8334712021399,234.3846295543109,235.66526015207307,,,,
225,2018-04-11,236.62,240.65,232.39,240.65,463,238.77231413475994,235.52378781716345,236.28835263306394,,,,
226,2018-04-12,242.87,245.89,236.42,239.24,2400,238.9282094231733,236.19946275949735,236.65730855393096,242.506,240.1666417165894,254.51191930936113,266.6508058161578
227,2018-04-15,238.84,242.87,234.6,242.06,360,239.9721396154489,237.26501498504325,237.33264498468958,,,,
228,2018-04-16,245.89,254.96,239.84,253.55,1763,244.49809307696597,240.225921351399,239.35981436160338,,,,
229,2018-04-18,276.12,276.12,264.23,264.23,2586,251.07539538464403,244.59029928750823,242.46858756640296,,,,
