,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
297,2021-03-22,6407.35,6413.94,6246.26,6288.18,3587,6308.973255448162,6220.3810132968465,6074.867896144574,,,,
298,2021-03-23,6348.07,6917.0,6288.18,6917.0,11318,6511.648836965442,6347.039010879238,6180.134409126502,,,,
299,2021-03-24,7262.55,7608.7,7262.55,7608.7,10179,6877.332557976961,6576.431917992104,6358.705107985688,,,,
300,2021-03-25,7760.81,8252.49,7486.53,7926.1,6690,7226.921705317975,6821.826114720812,6554.629469487477,7011.62,6205.656906270438,5552.951027696763,5038.780590615851
301,2021-03-29,7965.03,7965.03,7485.93,7539.83,3041,7331.224470211983,6952.372275680664,6677.779535801543,,,,
302,2021-03-30,7426.04,7683.55,7402.08,7485.93,2546,7382.792980141323,7049.382771011452,6778.79834382635,,,,
303,2021-03-31,7522.46,7522.46,6984.07,7306.26,4536,7357.281986760882,7096.0877217366415,6844.731050848057,,,,
304,2021-04-01,7306.26,7975.21,7186.49,7975.21,5962,7563.257991173921,7255.928135966342,6986.040919492049,7576.8075,6662.707104180293,5920.924931751897,5356.03395428887
305,2021-04-04,7977.0,7977.0,7485.93,7605.7,5803,7577.405327449282,7319.523020336098,7063.498304555543,,,,
306,2021-04-05,7755.42,8054.86,7453.59,7846.45,8435,7667.086884966187,7415.327925729534,7161.3672664861,,,,
307,2021-04-06,7454.19,7454.19,7061.92,7061.92,4263,7465.364589977459,7351.071939233255,7148.936358175337,,,,
308,2021-04-07,6709.19,6940.95,6446.88,6766.08,9152,7232.26972665164,7244.709768463572,7101.07931340342,,,,
309,2021-04-08,6707.39,6890.05,6677.45,6707.99,3436,7057.509817767761,7147.124356015649,7051.943149227993,7197.628,6841.014069453529,6153.0527623424605,5586.233210002761
310,2021-04-12,6793.63,6794.23,6554.08,6581.63,1886,6898.883211845174,7044.307200376439,6993.154005574494,,,,
311,2021-04-13,6527.73,6854.11,6339.68,6707.39,3122,6835.052141230117,6983.0495275807225,6957.433504877682,,,,
312,2021-04-15,6797.22,6797.22,6468.44,6526.53,3023,6732.211427486745,6900.045977111499,6903.570566767971,6605.183333333333,6762.403824080131,6235.258320704437,5713.601975419082
313,2021-04-18,6653.49,6653.49,6274.4,6298.96,3621,6587.794284991163,6790.75761763668,6827.994245921975,,,,
314,2021-04-19,6173.19,6288.18,6103.13,6103.13,3494,6426.239523327442,6665.7344144300105,6737.3862151817275,,,,
315,2021-04-20,5988.74,6355.25,5988.74,6165.41,4419,6339.296348884962,6574.7663390790985,6665.889188284011,,,,
316,2021-04-21,6169.0,6254.64,6084.56,6162.41,1130,6280.334232589975,6499.792459246535,6602.95428974851,,,,
317,2021-04-22,6048.63,6229.49,6048.63,6168.4,1598,6243.02282172665,6439.539284838074,6548.6350035299465,6179.661999999999,6568.156549386755,6225.1498987581745,5771.859478491697
318,2021-04-25,6168.4,6168.4,5816.27,5928.85,4242,6138.298547817767,6346.686687594787,6471.161878088703,,,,
319,2021-04-26,5876.15,5988.14,5521.62,5644.39,3780,5973.662365211845,6218.996380759371,6367.815393327615,,,,
320,2021-04-27,5719.25,5958.8,5604.86,5931.85,2542,5959.724910141231,6166.78794789403,6313.319719161663,,,,
321,2021-04-28,6048.63,6168.4,5755.78,5883.94,3361,5934.463273427487,6115.361048276934,6259.647254266455,,,,
