,s,o,h,l,c,v,t
107,ok,550.1,560.0,550.0,556.0,2371,1701561600
108,ok,555.0,575.0,549.0,561.0,10684,1701648000
109,ok,551.2,571.0,550.0,551.1,3032,1701734400
110,ok,540.2,556.0,540.2,547.0,6350,1701820800
111,ok,545.0,569.0,542.4,552.0,8628,1701907200
112,ok,563.0,593.0,557.0,593.0,4970,1702166400
113,ok,604.8,604.8,575.0,588.0,42426,1702252800
114,ok,577.0,626.0,565.5,620.0,48431,1702339200
115,ok,620.0,637.7,611.0,615.0,20914,1702425600
116,ok,603.1,620.0,602.8,610.0,16645,1702512000
117,ok,597.8,630.0,592.0,627.9,22256,1702771200
118,ok,616.0,670.0,616.0,663.9,41253,1702857600
119,ok,651.0,730.2,651.0,726.9,83015,1702944000
120,ok,712.4,747.0,712.4,720.0,54276,1703030400
121,ok,729.0,729.0,687.0,687.0,38534,1703116800
122,ok,685.0,739.0,678.0,694.0,71383,1703376000
123,ok,690.2,707.0,685.1,698.8,17575,1703635200
124,ok,690.0,710.0,680.1,696.9,15924,1703721600
125,ok,696.9,719.0,691.0,708.0,27342,1704067200
126,ok,722.1,722.1,680.0,683.0,23063,1704153600
127,ok,680.0,696.0,670.0,687.9,15021,1704240000
128,ok,700.0,700.0,674.0,674.0,16216,1704326400
129,ok,687.0,693.0,666.5,667.0,29705,1704585600
130,ok,655.1,689.5,655.1,685.0,11856,1704672000
131,ok,692.0,722.0,685.0,689.2,63932,1704758400
132,ok,675.5,715.0,671.0,682.0,18896,1704844800
133,ok,682.0,694.0,670.0,670.3,9835,1704931200
134,ok,680.0,693.6,662.1,674.9,10839,1705190400
135,ok,675.0,690.9,675.0,676.5,22849,1705363200
136,ok,675.0,684.9,653.8,665.0,25055,1705449600
137,ok,660.0,668.0,646.0,655.3,14621,1705536000
138,ok,642.3,660.0,632.0,640.0,17070,1705795200
139,ok,639.0,653.5,632.2,643.0,15635,1705881600
140,ok,644.0,677.0,633.0,675.0,17846,1705968000
141,ok,687.4,687.4,645.6,659.0,22243,1706054400
142,ok,650.0,663.0,633.0,647.7,10842,1706140800
143,ok,635.0,657.0,632.1,645.0,14008,1706400000
144,ok,635.2,657.9,633.0,644.9,14739,1706486400
145,ok,635.1,682.0,635.1,659.5,34921,1706572800
146,ok,671.0,690.0,665.0,666.0,66196,1706659200
147,ok,663.5,669.9,649.1,658.0,24416,1706745600
148,ok,646.0,658.0,636.2,641.0,8985,1707004800
149,ok,641.0,666.0,635.0,647.0,8599,1707091200
150,ok,640.0,654.3,640.0,649.0,5356,1707177600
151,ok,643.1,658.1,643.1,654.0,9789,1707264000
152,ok,641.4,666.0,641.4,660.0,9640,1707350400
153,ok,660.0,662.9,642.6,647.0,12063,1707609600
154,ok,647.0,655.0,640.1,645.0,6339,1707696000
155,ok,645.0,645.0,627.0,635.0,17354,1707782400
156,ok,646.0,646.0,625.1,635.1,9674,1707868800
157,ok,633.0,642.2,618.0,618.0,14340,1707955200
158,ok,614.0,625.0,613.0,616.0,19677,1708214400
159,ok,613.0,624.0,600.0,620.0,21833,1708387200
160,ok,632.4,632.4,600.0,603.0,14902,1708473600
161,ok,592.2,605.0,580.4,594.6,15286,1708560000
162,ok,590.0,610.4,575.3,582.0,14293,1708819200
163,ok,573.0,588.0,573.0,586.9,5939,1708905600
164,ok,578.1,597.7,571.0,590.0,5057,1708992000
165,ok,582.0,593.6,580.0,587.0,5200,1709078400
166,ok,577.5,590.0,568.4,569.0,7700,1709164800
167,ok,561.0,581.4,559.0,569.8,6485,1709424000
168,ok,581.0,601.0,581.0,601.0,50,1709510400
169,ok,613.0,613.0,585.1,585.1,9558,1709596800
170,ok,586.1,606.0,579.0,595.0,17089,1709683200
171,ok,605.9,606.0,585.0,597.0,8354,1709769600
172,ok,608.0,612.0,590.1,601.0,8404,1710028800
173,ok,612.9,637.0,590.0,637.0,23974,1710201600
174,ok,628.0,640.0,620.0,624.0,12983,1710288000
