datetime,price_1d,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
2024-05-15,364.53,361.68408456823494,359.2343793620912,357.7827714379945,,,,
2024-05-16,360.68,361.3493897121566,359.4972194780746,358.14492500824514,360.518,357.3360659609754,356.54291888481123,356.05147542177394
2024-05-19,381.07,367.9229264747711,363.4195432093337,361.0105593822145,,,,
2024-05-20,378.79,371.5452843165141,366.21417171672755,363.2329894594377,,,,
2024-05-21,383.51,375.5335228776761,369.3588677682316,365.767615777008,,,,
2024-05-22,379.65,376.90568191845074,371.2299827194622,367.50291380488204,,,,
2024-05-26,378.47,377.4271212789672,372.5463494977418,368.8737995792718,,,,
2024-05-27,378.08,377.64474751931147,373.5524677708796,370.02457463186283,,,,
2024-05-29,369.34,374.87649834620765,372.78656453981057,369.93900280288,,,,
2024-05-30,368.55,372.7676655641385,372.0162800780268,369.76537745252,373.61,367.964918204878,363.2478217328075,360.9482389947957
2024-06-02,370.91,372.1484437094257,371.81513824565826,369.90845527095496,,,,
2024-06-03,371.94,372.0789624729505,371.8378403828113,370.1623983620856,,,,
2024-06-04,378.0,374.05264164863365,372.95823304048196,371.14209856682487,,,,
2024-06-05,377.21,375.10509443242245,373.7312815785761,371.9005862459718,,,,
2024-06-06,376.5,375.5700629549483,374.23468492792585,372.47551296522533,374.912,370.2806121365854,365.36858141775156,362.6937091204462
2024-06-09,374.06,375.06670863663226,374.2029240319393,372.67357384457216,,,,
2024-06-10,371.39,373.84113909108817,373.69148329885945,372.5131271140006,,,,
2024-06-11,382.73,376.8040927273921,375.33484997179403,373.7902362247505,,,,
2024-06-12,381.7,378.43606181826146,376.4921499769224,374.7789566966567,,,,
2024-06-13,382.8,379.890707878841,377.63903179930014,375.7815871095746,378.536,373.03240809105694,367.7626575236149,364.67399548039043
2024-06-16,380.36,380.047138585894,378.1337532903365,376.3538887208778,,,,
2024-06-18,381.94,380.678092390596,378.82579814663893,377.0521526307681,,,,
2024-06-19,379.18,380.17872826039735,378.89019848361363,377.3181335519221,,,,
2024-06-20,379.58,379.97915217359827,379.0156169411384,377.6008668579318,380.265,375.44327206070466,370.03581070113944,366.6228710453416
2024-06-23,378.0,379.31943478239884,378.83095931547683,377.65075850069036,,,,
2024-06-24,378.08,378.9062898549326,378.6944212581174,377.70441368810407,,,,
2024-06-25,378.63,378.81419323662175,378.6827083020961,377.8201119770911,,,,
2024-06-26,377.92,378.5161288244145,378.5440340653513,377.8325979799547,,,,
2024-06-27,374.06,377.0307525496097,377.7287551443783,377.36102323246035,377.338,376.0748480404698,371.36348148275044,367.9622621646739
2024-06-30,371.31,375.12383503307314,376.5617087544913,376.6046453284028,,,,
2024-07-01,375.64,375.29589002204875,376.39412534458376,376.4840646623524,,,,
2024-07-02,385.88,378.82392668136583,378.11882982738666,377.65855657955836,,,,
2024-07-03,385.88,381.17595112091055,379.5299516769527,378.68623700711356,,,,
2024-07-04,401.63,387.99396741394037,383.5481422811431,381.5542073812244,384.068,378.7392320269799,373.67339394043216,369.9754793940897
2024-07-07,412.65,396.212644942627,388.8393891391171,385.44118145857135,,,,
2024-07-08,406.27,399.565096628418,392.00859111382306,388.0447837762499,,,,
2024-07-09,412.26,403.796731085612,395.6906654567643,391.07168580421865,,,,
2024-07-10,415.01,407.534487390408,399.20327173735257,394.0639750786913,,,,
2024-07-11,431.55,415.53965826027206,405.0844950578339,398.74972819385493,415.54799999999994,391.0088213513199,381.28695867853537,375.67204446982845
2024-07-14,439.43,423.5031055068481,411.3291323200459,403.83476216962305,,,,
2024-07-15,428.87,425.29207033789874,414.51838098912845,406.96416689842016,,,,
2024-07-16,446.51,432.3647135585992,420.3350389911051,411.9073960361177,,,,
2024-07-17,448.88,437.8698090390662,425.52503190181324,416.528971531603,,,,
2024-07-18,454.39,443.3765393593775,430.77320791966537,421.2616000901526,443.616,408.5445475675466,392.61951164607433,384.1650389110999
2024-07-21,456.75,447.83435957291834,435.49626102518073,425.69765007888356,,,,
2024-07-22,452.03,449.23290638194555,438.50239538423875,428.98919381902306,,,,
2024-07-23,471.71,456.725270921297,444.54014167801347,434.3292945916452,,,,
2024-07-24,464.63,459.36018061419804,448.19284319110193,438.11688276768956,,,,
2024-07-25,465.41,461.3767870761321,451.3232353381743,441.5285224217283,462.10599999999994,426.3983650450311,405.25341861951534,393.90765904721235
2024-07-28,476.44,466.39785805075473,455.8899198221426,445.8924571190123,,,,
2024-07-29,467.78,466.8585720338365,458.051752581753,448.6283999791358,,,,
2024-07-30,470.93,468.21571468922434,460.39325211234336,451.4160999817438,,,,
2024-07-31,482.74,473.05714312614964,464.45629718282635,455.3315874840258,,,,
2024-08-01,500.06,482.05809541743315,470.92969769503975,460.92263904852257,479.59,444.12891003002073,418.76916068869434,404.61795166631083
2024-08-05,520.77,494.9620636116221,479.99157084139614,468.4035591674572,,,,
2024-08-06,488.25,492.72470907441476,481.49310341568776,470.88436427152504,,,,
2024-08-07,505.58,497.00980604960984,485.87253915828995,475.2213187375844,,,,
2024-08-08,501.64,498.55320403307326,488.739350220419,478.5236538953863,504.06,464.10594002001386,434.2765860180226,417.04820770802195
2024-08-11,513.45,503.5188026887156,493.2321956348883,482.889447158463,,,,
